ID,comment,sentiment
80,The packaging seems poor. I hate it.,Negative
81,I think the service was subpar. I hate it.,Negative
82,The product seems excellent. Highly recommended!,Positive
83,The product feels horrible. I hate it.,Negative
84,I think the price feels perfect. Exceeded expectations.,Positive
85,The packaging was fantastic. Exceeded expectations.,Positive
86,My experience seems horrible. Do not buy.,Neutral
87,I think the price feels horrible. Very frustrated.,Negative
88,The design was brilliant. Highly recommended!,Positive
89,The product proved to be perfect. Very satisfied.,Positive
90,I think delivery seems wonderful. Exceeded expectations.,Positive
91,"This item seems absolutely regular. Not bad, not great.",Neutral
92,I think customer support is fantastic. I love it.,Positive
93,The service is excellent. Exceeded expectations.,Positive
94,"I think customer support looks typical. Not bad, not great.",Neutral
95,Delivery looks truly perfect. I love it.,Positive
96,Customer support is subpar. Will return it.,Negative
97,Delivery is wonderful. Very satisfied.,Positive
98,I think delivery seems excellent. Exceeded expectations.,Positive
99,I think my experience looks terrible. Will return it.,Negative
100,The price was dreadful. Will return it.,Negative
101,I think the design is terrible. Save your money.,Negative
102,The packaging feels perfect. Very satisfied.,Positive
103,The quality proved to be truly amazing. Very satisfied.,Positive
104,The packaging seems completely terrible. Total waste of money.,Negative
105,The quality looks standard. Might buy again.,Neutral
106,This item was somewhat brilliant. Highly recommended!,Positive
107,The service seems fairly brilliant. I love it.,Positive
108,Customer support feels extremely subpar. Very frustrated.,Positive
109,My experience feels absolutely fantastic. Exceeded expectations.,Positive
110,The price seems somewhat perfect. Best purchase ever.,Positive
111,The packaging looks really awful. Will return it.,Negative
112,I think the product feels disappointing. I hate it.,Negative
113,I think the product seems stellar. Will buy again.,Positive
114,I think the packaging is terrible. Very frustrated.,Negative
115,My experience seems extremely superb. Highly recommended!,Positive
116,I think my experience is disappointing. Very frustrated.,Negative
117,I think customer support looks useless. Very frustrated.,Negative
118,The product was great. Will buy again.,Positive
119,This item was very perfect. Best purchase ever.,Positive
120,Delivery feels totally worst. Save your money.,Neutral
121,My experience seems bad. Will return it.,Negative
122,I think the design is stellar. Exceeded expectations.,Positive
123,I think the quality feels awesome. Best purchase ever.,Positive
124,The design seems average. Nothing special.,Neutral
125,I think my experience seems mediocre. It does the job.,Neutral
126,The service feels absolutely horrible. I hate it.,Negative
127,The quality feels very amazing. I love it.,Positive
128,"The product is okay. Not bad, not great.",Neutral
129,Customer support feels somewhat fine. As expected.,Neutral
130,My experience was amazing. I love it.,Positive
131,I think delivery was mediocre. Nothing special.,Neutral
132,Customer support looks worst. I hate it.,Negative
133,Delivery is useless. Save your money.,Negative
134,Delivery was awful. Will return it.,Negative
135,This item looks horrible. Total waste of money.,Negative
136,I think the service looks normal. Nothing special.,Neutral
137,The service seems extremely poor. Will return it.,Neutral
138,Delivery was bad. Total waste of money.,Negative
139,The price seems extremely normal. Nothing special.,Neutral
140,The design looks stellar. Will buy again.,Positive
141,I think this item seems bad. Very frustrated.,Negative
142,The product was completely terrible. Total waste of money.,Negative
143,The quality looks fairly subpar. Very frustrated.,Negative
144,I think delivery was useless. Save your money.,Negative
145,I think delivery was awesome. Will buy again.,Negative
146,I think my experience feels fair. As expected.,Neutral
147,"The product proved to be quite fine. Not bad, not great.",Neutral
148,The quality is dreadful. I hate it.,Negative
149,Delivery looks awesome. Will buy again.,Positive
150,Delivery was completely wonderful. Highly recommended!,Positive
151,The price feels absolutely amazing. Highly recommended!,Positive
152,The design looks absolutely brilliant. Highly recommended!,Positive
153,This item looks stellar. Best purchase ever.,Positive
154,This item feels okay. Might buy again.,Neutral
155,I think this item looks stellar. Exceeded expectations.,Positive
156,Delivery seems truly brilliant. Will buy again.,Positive
157,Delivery seems really disappointing. Save your money.,Negative
158,The packaging proved to be terrible. Do not buy.,Negative
159,I think my experience looks worst. Do not buy.,Negative
160,I think the price is terrible. Total waste of money.,Negative
161,I think the service looks superb. Exceeded expectations.,Positive
162,The quality feels totally bad. I hate it.,Negative
163,Customer support proved to be amazing. Highly recommended!,Positive
164,Customer support was regular. It does the job.,Neutral
165,I think the service proved to be excellent. Very satisfied.,Positive
166,The product is worst. Save your money.,Positive
167,The price is bad. Will return it.,Negative
168,Customer support seems totally okay. It does the job.,Neutral
169,The service proved to be very excellent. Will buy again.,Positive
170,This item is somewhat amazing. Best purchase ever.,Neutral
171,"I think the price is typical. Not bad, not great.",Neutral
172,The service was useless. Will return it.,Negative
173,This item was absolutely stellar. Best purchase ever.,Positive
174,The packaging seems quite fantastic. I love it.,Positive
175,The quality proved to be mediocre. Might buy again.,Neutral
176,The service looks extremely worst. Total waste of money.,Negative
177,I think my experience seems excellent. Best purchase ever.,Positive
178,The design feels absolutely brilliant. Highly recommended!,Positive
179,The service was absolutely excellent. Very satisfied.,Positive
180,I think the service proved to be poor. Save your money.,Negative
181,The design feels worst. Do not buy.,Negative
182,I think the design is stellar. Will buy again.,Positive
183,The product seems fantastic. Highly recommended!,Positive
184,I think the price proved to be poor. Very frustrated.,Negative
185,The service proved to be brilliant. Best purchase ever.,Neutral
186,I think the product is typical. It does the job.,Neutral
187,The packaging feels totally disappointing. I hate it.,Negative
188,I think the product proved to be awful. Save your money.,Negative
189,I think the product looks useless. Do not buy.,Negative
190,I think delivery looks useless. I hate it.,Negative
191,My experience looks dreadful. Total waste of money.,Negative
192,"The product looks fairly normal. Not bad, not great.",Neutral
193,Delivery feels extremely terrible. Do not buy.,Negative
194,Customer support proved to be somewhat great. Exceeded expectations.,Neutral
195,The price feels excellent. Very satisfied.,Negative
196,This item is horrible. Save your money.,Negative
197,I think delivery seems average. Might buy again.,Neutral
198,This item proved to be extremely excellent. I love it.,Positive
199,I think my experience seems standard. Serves its purpose.,Neutral
200,I think my experience was dreadful. Save your money.,Negative
201,The design feels truly worst. Will return it.,Negative
202,I think the design feels amazing. Highly recommended!,Positive
203,The quality proved to be amazing. Highly recommended!,Positive
204,I think my experience feels worst. Do not buy.,Negative
205,The packaging looks dreadful. Will return it.,Negative
206,Delivery is extremely horrible. Do not buy.,Negative
207,The quality is normal. Might buy again.,Neutral
208,The product seems absolutely poor. I hate it.,Negative
209,I think this item seems standard. Nothing special.,Neutral
210,I think the service feels useless. Total waste of money.,Negative
211,This item proved to be extremely superb. Will buy again.,Positive
212,The quality feels fair. Serves its purpose.,Neutral
213,I think my experience was stellar. Very satisfied.,Positive
214,The packaging looks amazing. I love it.,Negative
215,The packaging is wonderful. Best purchase ever.,Positive
216,I think delivery proved to be perfect. Highly recommended!,Positive
217,I think delivery was standard. Nothing special.,Neutral
218,I think the packaging seems worst. Save your money.,Negative
219,Customer support seems really normal. Nothing special.,Neutral
220,The quality feels perfect. Best purchase ever.,Positive
221,I think the design proved to be fine. Nothing special.,Neutral
222,Customer support looks bad. I hate it.,Negative
223,The price feels subpar. Will return it.,Negative
224,The quality feels acceptable. Serves its purpose.,Neutral
225,The design is absolutely okay. As expected.,Neutral
226,My experience looks quite mediocre. Serves its purpose.,Neutral
227,I think the design was terrible. Will return it.,Negative
228,The product proved to be truly perfect. Exceeded expectations.,Positive
229,Delivery was very dreadful. I hate it.,Negative
230,My experience was superb. Exceeded expectations.,Positive
231,Delivery was normal. Might buy again.,Neutral
232,The service seems quite amazing. Very satisfied.,Positive
233,The design is poor. I hate it.,Positive
234,The packaging looks terrible. Very frustrated.,Negative
235,Customer support seems great. Will buy again.,Positive
236,I think the packaging looks average. Nothing special.,Neutral
237,The service proved to be awful. Save your money.,Negative
238,The product was quite fair. It does the job.,Neutral
239,"The packaging proved to be normal. Not bad, not great.",Neutral
240,I think the packaging feels superb. Exceeded expectations.,Positive
241,My experience seems poor. Will return it.,Negative
242,The packaging is dreadful. Do not buy.,Negative
243,Customer support is fantastic. Highly recommended!,Positive
244,I think the design is average. Serves its purpose.,Neutral
245,The quality proved to be quite disappointing. Save your money.,Negative
246,The design was perfect. I love it.,Positive
247,I think customer support seems mediocre. Serves its purpose.,Negative
248,I think the quality seems wonderful. Very satisfied.,Positive
249,The packaging is wonderful. Will buy again.,Positive
250,"The product was completely mediocre. Not bad, not great.",Neutral
251,The price proved to be very stellar. Best purchase ever.,Positive
252,The packaging seems very standard. Nothing special.,Negative
253,This item looks very dreadful. Total waste of money.,Negative
254,I think the packaging feels terrible. I hate it.,Negative
255,Customer support was extremely bad. Save your money.,Negative
256,The design feels great. Exceeded expectations.,Positive
257,The packaging feels stellar. Will buy again.,Positive
258,The packaging was totally useless. Save your money.,Negative
259,I think customer support looks excellent. Very satisfied.,Positive
260,The service was fairly superb. Will buy again.,Positive
261,I think the packaging proved to be terrible. Very frustrated.,Negative
262,I think this item looks useless. Do not buy.,Negative
263,"I think the design looks standard. Not bad, not great.",Neutral
264,I think customer support seems poor. Do not buy.,Negative
265,The product feels truly bad. Will return it.,Negative
266,The service is extremely worst. Save your money.,Negative
267,My experience feels quite subpar. Will return it.,Negative
268,My experience is brilliant. I love it.,Positive
269,The price is perfect. Will buy again.,Positive
270,The price proved to be horrible. Will return it.,Negative
271,I think the design proved to be okay. Serves its purpose.,Neutral
272,The price was poor. Do not buy.,Negative
273,Customer support is awful. I hate it.,Negative
274,The packaging was wonderful. Exceeded expectations.,Positive
275,This item is superb. Will buy again.,Positive
276,My experience is brilliant. Highly recommended!,Positive
277,This item is truly subpar. Will return it.,Negative
278,Customer support is useless. Will return it.,Negative
279,This item is really useless. Do not buy.,Negative
280,Customer support was very awful. Do not buy.,Negative
281,The packaging feels perfect. Best purchase ever.,Positive
282,This item seems absolutely wonderful. Will buy again.,Positive
283,The price seems very standard. As expected.,Neutral
284,The product proved to be fair. Might buy again.,Neutral
285,I think my experience feels perfect. Will buy again.,Positive
286,The quality looks excellent. Best purchase ever.,Positive
287,Customer support was fantastic. I love it.,Positive
288,The price proved to be really awful. Very frustrated.,Negative
289,The design looks absolutely terrible. I hate it.,Negative
290,This item looks completely stellar. I love it.,Positive
291,I think the service seems excellent. Very satisfied.,Positive
292,I think the product was okay. It does the job.,Neutral
293,The quality is somewhat great. Highly recommended!,Positive
294,The quality feels very worst. Save your money.,Negative
295,I think the quality proved to be regular. Nothing special.,Neutral
296,I think my experience proved to be disappointing. Very frustrated.,Negative
297,I think this item is okay. Might buy again.,Neutral
298,"I think the packaging is normal. Not bad, not great.",Neutral
299,I think customer support was wonderful. Will buy again.,Positive
300,The packaging looks perfect. I love it.,Positive
301,I think customer support proved to be fantastic. Exceeded expectations.,Positive
302,The product was fairly average. Serves its purpose.,Neutral
303,I think the price looks awesome. Very satisfied.,Positive
304,The product feels wonderful. Best purchase ever.,Positive
305,This item proved to be truly excellent. I love it.,Positive
306,I think customer support looks awful. Total waste of money.,Negative
307,The service seems somewhat fantastic. Highly recommended!,Positive
308,I think the packaging looks okay. It does the job.,Neutral
309,My experience is completely fantastic. I love it.,Positive
310,This item feels fantastic. Exceeded expectations.,Positive
311,The quality feels standard. As expected.,Neutral
312,I think my experience seems great. Will buy again.,Positive
313,My experience feels absolutely excellent. Very satisfied.,Positive
314,Delivery seems somewhat dreadful. Do not buy.,Negative
315,Customer support is amazing. Will buy again.,Positive
316,My experience proved to be amazing. Exceeded expectations.,Positive
317,Customer support looks stellar. I love it.,Positive
318,I think the packaging feels worst. Total waste of money.,Negative
319,I think the quality was disappointing. Do not buy.,Negative
320,This item is bad. Very frustrated.,Negative
321,I think the price seems bad. Total waste of money.,Negative
322,My experience seems extremely amazing. I love it.,Positive
323,The service feels totally amazing. Exceeded expectations.,Positive
324,I think my experience looks poor. Save your money.,Negative
325,I think the service was perfect. Highly recommended!,Positive
326,My experience feels very worst. Very frustrated.,Negative
327,Customer support is extremely wonderful. I love it.,Positive
328,The packaging seems somewhat useless. Will return it.,Positive
329,I think delivery looks fantastic. Best purchase ever.,Negative
330,My experience looks extremely worst. Do not buy.,Negative
331,The product looks terrible. Save your money.,Negative
332,I think my experience looks okay. As expected.,Neutral
333,The packaging looks somewhat awful. I hate it.,Negative
334,Delivery is completely fantastic. Highly recommended!,Positive
335,The product proved to be really typical. Might buy again.,Neutral
336,The product feels stellar. Best purchase ever.,Positive
337,This item looks very regular. Might buy again.,Neutral
338,The product looks standard. Nothing special.,Neutral
339,The product feels acceptable. Might buy again.,Neutral
340,The price feels truly poor. Very frustrated.,Negative
341,Customer support was poor. Very frustrated.,Negative
342,This item seems bad. Do not buy.,Negative
343,The product feels subpar. I hate it.,Negative
344,I think my experience feels terrible. Will return it.,Negative
345,My experience is bad. Total waste of money.,Negative
346,I think the quality seems amazing. Exceeded expectations.,Positive
347,I think the quality was useless. Total waste of money.,Negative
348,Customer support proved to be totally average. Serves its purpose.,Neutral
349,I think my experience was superb. Best purchase ever.,Positive
350,My experience looks truly terrible. I hate it.,Neutral
351,Delivery looks amazing. Highly recommended!,Positive
352,The design looks completely perfect. Exceeded expectations.,Positive
353,The product is absolutely awful. I hate it.,Negative
354,"The price was totally fine. Not bad, not great.",Neutral
355,The quality seems average. Nothing special.,Neutral
356,The price was subpar. Do not buy.,Negative
357,My experience is useless. I hate it.,Negative
358,Delivery looks absolutely wonderful. Best purchase ever.,Positive
359,The design looks totally stellar. Highly recommended!,Positive
360,Delivery proved to be regular. As expected.,Neutral
361,The packaging proved to be truly subpar. Save your money.,Negative
362,The service was excellent. Best purchase ever.,Positive
363,I think delivery is amazing. Exceeded expectations.,Positive
364,The quality seems superb. Will buy again.,Positive
365,The quality looks poor. Will return it.,Negative
366,Customer support looks great. Will buy again.,Positive
367,Delivery seems very average. It does the job.,Neutral
368,The product proved to be wonderful. Highly recommended!,Positive
369,The quality looks disappointing. Save your money.,Negative
370,My experience seems totally awesome. Highly recommended!,Positive
371,I think the design was superb. Best purchase ever.,Positive
372,This item looks dreadful. Will return it.,Negative
373,The design was totally disappointing. Do not buy.,Negative
374,The quality was totally perfect. Highly recommended!,Positive
375,The packaging feels absolutely wonderful. I love it.,Negative
376,The quality feels subpar. Save your money.,Negative
377,The quality is truly excellent. Will buy again.,Positive
378,The packaging feels brilliant. Best purchase ever.,Positive
379,I think delivery looks worst. Very frustrated.,Negative
380,The packaging feels really stellar. Will buy again.,Positive
381,I think the quality looks useless. Very frustrated.,Negative
382,My experience is totally horrible. Total waste of money.,Negative
383,My experience looks absolutely terrible. Do not buy.,Negative
384,I think the packaging was awful. Do not buy.,Negative
385,The service is useless. Save your money.,Negative
386,The quality proved to be fair. As expected.,Neutral
387,This item proved to be absolutely horrible. Total waste of money.,Negative
388,I think the price seems perfect. Highly recommended!,Positive
389,I think delivery proved to be terrible. Do not buy.,Negative
390,The quality feels superb. Very satisfied.,Positive
391,I think the price proved to be amazing. Best purchase ever.,Positive
392,My experience seems great. Highly recommended!,Positive
393,The price proved to be somewhat subpar. Total waste of money.,Negative
394,I think the service is brilliant. Will buy again.,Positive
395,This item feels terrible. Very frustrated.,Negative
396,I think this item is brilliant. Best purchase ever.,Positive
397,I think the product was acceptable. As expected.,Neutral
398,Delivery seems somewhat horrible. Very frustrated.,Negative
399,The quality proved to be useless. Total waste of money.,Negative
400,My experience feels horrible. Will return it.,Negative
401,The price proved to be terrible. Do not buy.,Negative
402,I think customer support is useless. Save your money.,Negative
403,I think the quality proved to be fantastic. Will buy again.,Positive
404,I think the design looks bad. I hate it.,Negative
405,The design looks excellent. Very satisfied.,Positive
406,I think the design feels stellar. Very satisfied.,Neutral
407,I think the quality feels awesome. Very satisfied.,Neutral
408,The quality is horrible. Do not buy.,Negative
409,I think the packaging looks regular. Serves its purpose.,Neutral
410,I think my experience proved to be awful. Total waste of money.,Negative
411,I think this item is fine. Might buy again.,Neutral
412,The packaging was mediocre. It does the job.,Neutral
413,This item looks fairly terrible. Will return it.,Negative
414,The product seems absolutely fine. Might buy again.,Neutral
415,The packaging feels great. Very satisfied.,Positive
416,This item looks absolutely horrible. Total waste of money.,Negative
417,The design feels fairly average. It does the job.,Neutral
418,The price looks typical. Serves its purpose.,Neutral
419,The packaging proved to be perfect. Exceeded expectations.,Positive
420,The price looks poor. Do not buy.,Negative
421,The quality was absolutely stellar. Will buy again.,Positive
422,My experience seems totally worst. I hate it.,Negative
423,I think the packaging is useless. Save your money.,Negative
424,The packaging seems truly useless. I hate it.,Positive
425,My experience proved to be completely amazing. Best purchase ever.,Negative
426,I think the packaging feels bad. Total waste of money.,Negative
427,I think the design proved to be brilliant. I love it.,Positive
428,The price proved to be worst. Very frustrated.,Neutral
429,The service seems awesome. Exceeded expectations.,Positive
430,I think the quality is stellar. Highly recommended!,Positive
431,I think the design feels typical. Serves its purpose.,Neutral
432,Customer support was stellar. Best purchase ever.,Positive
433,I think the product was wonderful. Very satisfied.,Positive
434,My experience was absolutely wonderful. Exceeded expectations.,Positive
435,I think the design proved to be excellent. Will buy again.,Negative
436,The price feels stellar. Highly recommended!,Positive
437,I think the service was subpar. Will return it.,Negative
438,I think the design proved to be amazing. Exceeded expectations.,Positive
439,I think this item feels subpar. Will return it.,Negative
440,This item seems amazing. Will buy again.,Positive
441,The price was awesome. I love it.,Positive
442,The packaging looks terrible. Will return it.,Negative
443,The design was worst. Do not buy.,Negative
444,The product was bad. Save your money.,Negative
445,The price proved to be quite terrible. Total waste of money.,Neutral
446,The price proved to be useless. Very frustrated.,Negative
447,Delivery proved to be subpar. Do not buy.,Negative
448,My experience is regular. Might buy again.,Neutral
449,I think the design proved to be terrible. Very frustrated.,Negative
450,The product looks subpar. Will return it.,Negative
451,The product feels truly useless. Do not buy.,Negative
452,This item is perfect. I love it.,Positive
453,I think my experience proved to be fair. As expected.,Neutral
454,I think the quality feels useless. Will return it.,Negative
455,The price was extremely bad. Do not buy.,Negative
456,My experience feels absolutely standard. Nothing special.,Neutral
457,The design is superb. Very satisfied.,Positive
458,The quality was really dreadful. Save your money.,Negative
459,"The design feels acceptable. Not bad, not great.",Neutral
460,I think the product proved to be amazing. Exceeded expectations.,Positive
461,I think the design seems disappointing. I hate it.,Negative
462,The design looks amazing. Very satisfied.,Positive
463,The service was completely fantastic. Very satisfied.,Negative
464,The packaging looks somewhat standard. Serves its purpose.,Neutral
465,The service proved to be totally disappointing. Save your money.,Negative
466,The quality was extremely stellar. Exceeded expectations.,Positive
467,The quality looks fairly awful. Will return it.,Negative
468,I think customer support feels horrible. Will return it.,Negative
469,Delivery was average. It does the job.,Positive
470,Delivery was amazing. I love it.,Positive
471,I think the service proved to be superb. Exceeded expectations.,Positive
472,The design is typical. Might buy again.,Neutral
473,Customer support feels excellent. Exceeded expectations.,Positive
474,I think the price is stellar. Very satisfied.,Positive
475,The quality proved to be totally typical. Serves its purpose.,Neutral
476,This item is totally subpar. Very frustrated.,Negative
477,Customer support feels terrible. Save your money.,Negative
478,The product seems wonderful. Will buy again.,Positive
479,I think the packaging was fantastic. Highly recommended!,Positive
480,I think the product looks mediocre. Serves its purpose.,Neutral
481,The product was wonderful. Will buy again.,Positive
482,I think the quality proved to be standard. It does the job.,Neutral
483,Delivery feels bad. Do not buy.,Negative
484,I think my experience looks subpar. Save your money.,Negative
485,My experience looks terrible. I hate it.,Negative
486,The quality seems disappointing. Save your money.,Negative
487,I think the price feels horrible. Save your money.,Negative
488,I think this item looks perfect. Will buy again.,Positive
489,The quality feels really stellar. Exceeded expectations.,Positive
490,"My experience was typical. Not bad, not great.",Neutral
491,This item feels absolutely perfect. Highly recommended!,Positive
492,Delivery proved to be completely stellar. Highly recommended!,Positive
493,I think this item is typical. It does the job.,Neutral
494,The quality proved to be perfect. I love it.,Positive
495,I think the price was brilliant. Will buy again.,Positive
496,The quality was superb. Highly recommended!,Positive
497,I think delivery feels average. Might buy again.,Neutral
498,Delivery proved to be quite wonderful. Highly recommended!,Positive
499,The service feels really terrible. Will return it.,Negative
500,Delivery was dreadful. Do not buy.,Negative
501,I think the quality is perfect. Very satisfied.,Positive
502,The service was fairly superb. Will buy again.,Positive
503,I think this item is disappointing. Save your money.,Negative
504,I think this item looks great. Will buy again.,Positive
505,I think delivery proved to be normal. Might buy again.,Neutral
506,I think the service proved to be subpar. Will return it.,Negative
507,I think the quality feels regular. Might buy again.,Neutral
508,I think the product proved to be fine. Serves its purpose.,Neutral
509,I think the quality looks fine. It does the job.,Neutral
510,I think the product was disappointing. Very frustrated.,Negative
511,My experience proved to be useless. Very frustrated.,Negative
512,I think the service looks horrible. Very frustrated.,Negative
513,"My experience is okay. Not bad, not great.",Neutral
514,I think the packaging was brilliant. Exceeded expectations.,Positive
515,I think the packaging is superb. Exceeded expectations.,Positive
516,The product proved to be absolutely dreadful. Total waste of money.,Negative
517,I think my experience is stellar. Exceeded expectations.,Positive
518,The price looks amazing. Exceeded expectations.,Positive
519,This item was superb. Very satisfied.,Positive
520,The design was fairly fair. Nothing special.,Neutral
521,The service looks amazing. Will buy again.,Neutral
522,I think the quality is useless. Total waste of money.,Negative
523,My experience was worst. Very frustrated.,Negative
524,I think the quality proved to be subpar. Will return it.,Negative
525,This item looks useless. Very frustrated.,Negative
526,The product feels somewhat fine. Nothing special.,Neutral
527,My experience proved to be absolutely subpar. Do not buy.,Negative
528,I think the quality feels excellent. Exceeded expectations.,Positive
529,I think this item feels normal. Might buy again.,Neutral
530,This item was perfect. Best purchase ever.,Positive
531,The design proved to be truly wonderful. Highly recommended!,Positive
532,I think customer support was brilliant. Will buy again.,Positive
533,I think my experience is fantastic. Best purchase ever.,Positive
534,This item feels truly poor. Total waste of money.,Negative
535,My experience is quite awful. Will return it.,Negative
536,Delivery proved to be quite average. It does the job.,Neutral
537,I think delivery is awesome. I love it.,Positive
538,Customer support looks really fantastic. Best purchase ever.,Positive
539,This item is extremely typical. As expected.,Neutral
540,I think the design looks fantastic. Very satisfied.,Positive
541,The design looks very brilliant. Best purchase ever.,Neutral
542,Delivery looks completely perfect. Exceeded expectations.,Positive
543,The design is subpar. I hate it.,Negative
544,The service proved to be great. Best purchase ever.,Positive
545,The service looks great. Best purchase ever.,Positive
546,Delivery was very horrible. Do not buy.,Negative
547,I think this item seems awesome. Best purchase ever.,Negative
548,I think the design proved to be fine. Nothing special.,Neutral
549,The design looks worst. Total waste of money.,Negative
550,Delivery looks fairly disappointing. Save your money.,Negative
551,I think the quality seems poor. Very frustrated.,Negative
552,The service proved to be brilliant. Best purchase ever.,Neutral
553,The quality feels totally okay. It does the job.,Neutral
554,I think the price feels perfect. Highly recommended!,Positive
555,The design looks subpar. Very frustrated.,Negative
556,My experience looks absolutely disappointing. I hate it.,Negative
557,I think the design proved to be superb. Very satisfied.,Positive
558,The service is totally regular. Serves its purpose.,Neutral
559,The price proved to be quite standard. Might buy again.,Neutral
560,The design proved to be absolutely poor. I hate it.,Negative
561,I think the product feels amazing. Exceeded expectations.,Positive
562,I think the quality seems okay. It does the job.,Neutral
563,I think my experience was dreadful. Do not buy.,Negative
564,I think the quality looks useless. Total waste of money.,Negative
565,My experience looks truly disappointing. Very frustrated.,Negative
566,I think the design was fantastic. Exceeded expectations.,Positive
567,I think customer support seems normal. As expected.,Neutral
568,The packaging looks bad. Very frustrated.,Negative
569,My experience is subpar. Very frustrated.,Negative
570,I think the service is disappointing. I hate it.,Negative
571,The packaging proved to be absolutely brilliant. I love it.,Positive
572,I think the packaging seems perfect. Very satisfied.,Positive
573,I think the product was brilliant. Best purchase ever.,Positive
574,My experience looks normal. Might buy again.,Neutral
575,I think customer support proved to be regular. It does the job.,Neutral
576,I think my experience was awesome. I love it.,Positive
577,I think the price seems awesome. Exceeded expectations.,Positive
578,The packaging feels fairly stellar. I love it.,Positive
579,Delivery proved to be brilliant. Will buy again.,Positive
580,The packaging proved to be superb. Exceeded expectations.,Positive
581,I think the service feels poor. Save your money.,Negative
582,Delivery looks quite mediocre. Serves its purpose.,Neutral
583,This item proved to be extremely worst. Total waste of money.,Negative
584,This item looks perfect. Very satisfied.,Positive
585,The price seems fairly awful. Save your money.,Negative
586,I think my experience is poor. I hate it.,Negative
587,The service looks fantastic. Will buy again.,Positive
588,This item is worst. Save your money.,Negative
589,I think the quality was disappointing. Total waste of money.,Neutral
590,This item feels average. Nothing special.,Neutral
591,The price looks dreadful. Will return it.,Negative
592,I think the price was poor. Do not buy.,Negative
