comment,cleaned_comment,sentiment
This moisturizer has transformed my dry skin completely,moisturizer transformed dry skin completely,Negative
Waste of time and money returning this today,waste time money returning today,Negative
It is okay for occasional use nothing more,okay occasional use nothing,Neutral
Brilliant design and very easy to assemble,brilliant design easy assemble,Positive
The zipper broke the first time I used the bag,zipper broke first time used bag,Positive
Standard quality you get what you pay for,standard quality get pay,Neutral
I have recommended this to all my friends and family,recommended friends family,Positive
Scam alert this seller is selling fake products,scam alert seller selling fake products,Positive
The order was processed and delivered normally,order processed delivered normally,Positive
What an amazing find this store is a hidden gem,amazing find store hidden gem,Positive
The material started tearing after minimal use,material started tearing minimal use,Positive
An ordinary pen nothing fancy about it,ordinary pen nothing fancy,Positive
This is the softest blanket I have ever touched,softest blanket ever touched,Positive
Extremely poor stitching on this jacket avoid buying,extremely poor stitching jacket avoid buying,Negative
Item arrived as described nothing unusual,item arrived described nothing unusual,Positive
I am blown away by the performance of this gadget,blown away performance gadget,Positive
Cheap plastic that breaks if you look at it wrong,cheap plastic breaks look wrong,Positive
The tracking worked fine and delivery was on schedule,tracking worked fine delivery schedule,Neutral
Life changing product every household needs this,life changing product every household needs,Positive
The paint started chipping off within a week,paint started chipping within week,Positive
It tastes okay not the best I have had,tastes okay best,Neutral
So grateful I found this product it solved my problem,grateful found product solved problem,Positive
Never experienced such bad quality in my entire life,never experienced bad quality entire life,Negative
The weight is exactly as mentioned in the specs,weight exactly mentioned specs,Positive
This watch looks stunning on my wrist love it,watch looks stunning wrist love,Positive
The strap broke on the very first use disappointing,strap broke first use disappointing,Negative
Comes in a regular size box nothing special,comes regular size box nothing special,Neutral
Exceptional customer support they went above and beyond,exceptional customer support went beyond,Negative
Damaged goods received with no option to return or refund,damaged goods received option return refund,Negative
Standard flavor nothing to write home about,standard flavor nothing write home,Neutral
My dog loves this chew toy best purchase for pets,dog loves chew toy best purchase pets,Positive
The glue came off making the product completely useless,glue came making product completely useless,Negative
Product delivered within the estimated delivery window,product delivered within estimated delivery window,Negative
Hands down the best wireless earbuds in this range,hands best wireless earbuds range,Positive
This blender sounds like a jet engine way too loud,blender sounds like jet engine way loud,Positive
The texture is fine nothing to complain about,texture fine nothing complain,Neutral
I am so impressed with the build quality fantastic,impressed build quality fantastic,Positive
Received a used product disguised as new unacceptable,received used product disguised new unacceptable,Positive
The product dimensions are accurate as per the listing,product dimensions accurate per listing,Positive
Pure joy every time I use this coffee machine,pure joy every time use coffee machine,Positive
The handle fell off while I was cooking dangerous,handle fell cooking dangerous,Positive
Its a standard USB cable does what its supposed to,standard usb cable supposed,Neutral
Absolutely love the vintage design of this lamp,absolutely love vintage design lamp,Positive
Terrible fit the size chart is completely wrong,terrible fit size chart completely wrong,Negative
The product looks the same as the online image,product looks online image,Negative
This perfume smells divine getting compliments every day,perfume smells divine getting compliments every day,Positive
The motor burned out after two uses fire hazard,motor burned two uses fire hazard,Positive
Average quality socks nothing premium about them,average quality socks nothing premium,Neutral
Outstanding value for money will definitely repurchase,outstanding value money definitely repurchase,Negative
The buttons stopped working after a single wash awful,buttons stopped working single wash awful,Negative
Received the exact item that was shown online,received exact item shown online,Positive
This yoga mat has the perfect grip and cushioning,yoga mat perfect grip cushioning,Positive
Flimsy construction this shelf cannot hold any weight,flimsy construction shelf cannot hold weight,Positive
Just a regular notebook with lined pages,regular notebook lined pages,Neutral
